Size,Algorithm,DataType,Comparisons,Time_ms
1900,MSDRadixSort+QuickSort,Random,9367,85.054
1900,MSDRadixSort+QuickSort,Reversed,9389,86.407
1900,MSDRadixSort+QuickSort,AlmostSorted,9403,84.189
1900,MSDRadixSort+QuickSort,Prefix,22814,808.004
2000,StandardMergeSort,Random,27146,133.676
2000,StandardMergeSort,Reversed,16311,129.689
2000,StandardMergeSort,AlmostSorted,20375,135.715
2000,StandardMergeSort,Prefix,162872,168.544
2000,StandardQuickSort,Random,32077,0.645
2000,StandardQuickSort,Reversed,2025910,40.564
2000,StandardQuickSort,AlmostSorted,443412,8.867
2000,StandardQuickSort,Prefix,204243,2.556
2000,TernaryQuickSort,Random,20509,0.404
2000,TernaryQuickSort,Reversed,20988,0.364
2000,TernaryQuickSort,AlmostSorted,23756,0.396
2000,TernaryQuickSort,Prefix,34107,0.483
2000,LCPMergeSort,Random,27146,128.117
2000,LCPMergeSort,Reversed,16311,127.154
2000,LCPMergeSort,AlmostSorted,20375,131.890
2000,LCPMergeSort,Prefix,162872,170.541
2000,MSDRadixSort,Random,4577,137.979
2000,MSDRadixSort,Reversed,4590,138.337
2000,MSDRadixSort,AlmostSorted,4608,158.264
2000,MSDRadixSort,Prefix,18575,578.565
2000,MSDRadixSort+QuickSort,Random,9974,71.392
2000,MSDRadixSort+QuickSort,Reversed,9803,72.063
2000,MSDRadixSort+QuickSort,AlmostSorted,9929,73.619
2000,MSDRadixSort+QuickSort,Prefix,24119,924.980
2100,StandardMergeSort,Random,28826,170.762
2100,StandardMergeSort,Reversed,17308,153.253
2100,StandardMergeSort,AlmostSorted,21304,185.827
2100,StandardMergeSort,Prefix,172456,221.631
2100,StandardQuickSort,Random,34452,0.734
2100,StandardQuickSort,Reversed,2233915,51.686
2100,StandardQuickSort,AlmostSorted,716367,14.595
2100,StandardQuickSort,Prefix,213509,1.454
2100,TernaryQuickSort,Random,21535,0.444
2100,TernaryQuickSort,Reversed,24980,0.542
2100,TernaryQuickSort,AlmostSorted,23414,0.555
2100,TernaryQuickSort,Prefix,39513,0.621
2100,LCPMergeSort,Random,28826,236.088
2100,LCPMergeSort,Reversed,17308,180.425
2100,LCPMergeSort,AlmostSorted,21304,153.423
2100,LCPMergeSort,Prefix,172456,251.564
2100,MSDRadixSort,Random,4884,250.697
2100,MSDRadixSort,Reversed,4894,151.793
2100,MSDRadixSort,AlmostSorted,4839,219.588
2100,MSDRadixSort,Prefix,19553,779.143
2100,MSDRadixSort+QuickSort,Random,10600,259.857
2100,MSDRadixSort+QuickSort,Reversed,10692,189.305
2100,MSDRadixSort+QuickSort,AlmostSorted,10701,151.950
2100,MSDRadixSort+QuickSort,Prefix,25571,964.675
2200,StandardMergeSort,Random,30532,88.889
2200,StandardMergeSort,Reversed,17917,97.398
2200,StandardMergeSort,AlmostSorted,22773,99.083
2200,StandardMergeSort,Prefix,182293,127.399
2200,StandardQuickSort,Random,38034,0.777
2200,StandardQuickSort,Reversed,2451328,47.712
2200,StandardQuickSort,AlmostSorted,485567,9.809
2200,StandardQuickSort,Prefix,222572,1.428
2200,TernaryQuickSort,Random,23407,0.538
2200,TernaryQuickSort,Reversed,22755,0.405
2200,TernaryQuickSort,AlmostSorted,23173,0.492
2200,TernaryQuickSort,Prefix,38495,0.588
2200,LCPMergeSort,Random,30532,85.605
2200,LCPMergeSort,Reversed,17917,98.453
2200,LCPMergeSort,AlmostSorted,22773,104.737
2200,LCPMergeSort,Prefix,182293,154.635
2200,MSDRadixSort,Random,5137,125.013
2200,MSDRadixSort,Reversed,5143,122.985
2200,MSDRadixSort,AlmostSorted,5163,156.527
2200,MSDRadixSort,Prefix,20493,590.070
2200,MSDRadixSort+QuickSort,Random,11289,116.951
2200,MSDRadixSort+QuickSort,Reversed,11241,117.620
2200,MSDRadixSort+QuickSort,AlmostSorted,11247,106.361
2200,MSDRadixSort+QuickSort,Prefix,26812,1035.807
2300,StandardMergeSort,Random,32229,148.387
2300,StandardMergeSort,Reversed,18834,194.588
2300,StandardMergeSort,AlmostSorted,23748,201.659
2300,StandardMergeSort,Prefix,191772,250.122
2300,StandardQuickSort,Random,38040,4.813
2300,StandardQuickSort,Reversed,2679418,54.575
2300,StandardQuickSort,AlmostSorted,867371,18.516
2300,StandardQuickSort,Prefix,228820,1.492
2300,TernaryQuickSort,Random,25738,0.514
2300,TernaryQuickSort,Reversed,25263,0.527
2300,TernaryQuickSort,AlmostSorted,24889,0.504
2300,TernaryQuickSort,Prefix,39978,6.688
2300,LCPMergeSort,Random,32229,170.462
2300,LCPMergeSort,Reversed,18834,142.997
2300,LCPMergeSort,AlmostSorted,23748,166.793
2300,LCPMergeSort,Prefix,191772,179.665
2300,MSDRadixSort,Random,5337,220.126
2300,MSDRadixSort,Reversed,5369,190.405
2300,MSDRadixSort,AlmostSorted,5429,167.734
2300,MSDRadixSort,Prefix,21485,863.913
2300,MSDRadixSort+QuickSort,Random,12096,74.673
2300,MSDRadixSort+QuickSort,Reversed,12189,73.732
2300,MSDRadixSort+QuickSort,AlmostSorted,11731,83.458
2300,MSDRadixSort+QuickSort,Prefix,28244,748.048
2400,StandardMergeSort,Random,33904,100.371
2400,StandardMergeSort,Reversed,19577,123.779
